user,mean_stress
1,75.72368421052632
2,79.88172043010752
3,71.16216216216216
4,77.3529411764706
5,84.4375
6,70.34146341463415
7,76.94186046511628
8,77.7816091954023
9,75.42134831460675
10,74.56410256410257
11,72.5
12,75.12068965517241
13,80.94871794871794
14,81.35714285714286
15,81.42465753424658
16,71.83544303797468
17,73.70588235294117
18,74.82558139534883
19,69.5
20,73.08474576271186
21,73.03614457831326
22,83.16666666666667
23,80.42307692307692
24,75.85714285714286
25,68.3
26,81.4
27,69.33962264150944
28,69.64285714285714
29,73.83333333333333
30,75.375
31,69.8
32,71.61682242990655
33,81.1864406779661
34,79.74285714285715
35,76.33333333333333
36,79.98611111111111
37,78.69354838709677
